id,reviewer_name,reviewer_country,stay_date,review_type,review_date,room_type,nights_stayed,rating,review_title,review_text
111,Melvyn,United Kingdom,April 2023,Couple,3 May 2023,Guest Room 1 King,2,"9.0
9.0","convenient area for the cruise terminal (about 45$ by Uber) Clean hotel, great swimming area,","Pros: Room was a good size and had recently been refurbished. A light was not working, told reception and within minutes somebody came to fix it. Bed was very comfortable. The swimming pool area was very good, plenty of sunshine as no really high blocks causing a problem. Dadeland Mall was literally a 5 minute walk. Would definitely stay there again.
Cons: Nothing, we were there for two days and was completely happy."
112,Patricia,Mexico,February 2023,Family,23 February 2023,"Guest room, 2 Double",5,"7.0
7.0",Good,"Pros: Breakfast good,, service GREAT"
113,David,Colombia,January 2023,Family,9 January 2023,"Guest room, 2 Double",3,"9.0
9.0","Very good value for the money, with some outstanding hotel staff members.","Pros: Most of the hotel staff were wonderful: Ali, from the reception, was extraordinarily friendly and helpful. Vicky, Alejandro and Davion (or Debion, I could get a good look at his name), from the breakfast place were so kind and respectful. The rooms were very nice, spacious and comfortable. The shower was excellent. The gym was pretty good for a hotel gym.
Cons: The rooms had very little lighting. Even with all the lights on, it felt pretty dark. The bathroom door, although very modern with its translucent apprarance, doesn’t make it very comfortable or private to use the bathroom."
114,John,United States,December 2022,Couple,7 December 2022,Guest Room 1 King,2,"8.0
8.0","Very nice day, great staff","Pros: Very friendly staff, room service food was very good
Cons: The air conditioner in the room had to be set, so it was so cold that it was almost uncomfortable to stay cool in the room, the shower pressure was so bad it was hard to shower."
115,Tatiana,Spain,September 2022,Group,2 September 2022,"Design Guest Room, Guest room, 2 Double",2,"7.0
7.0",dissappinting,"Pros: the beds
Cons: breakfast was
worst
than horrible! French toasts were
hard as
bricks!!! Coffee was also bad. Terrible
breaksfast. No bell bou when I checked
out, had to carry myself the two suitcases
and my carry on amd bag. Terrible
thatwifi is charged! It
is i cluded in almost
all
hotels"
116,Sage,United States,April 2025,Group,21 April 2025,"Guest room, 2 Double",2,"4.0
4.0",Disappointing,"Pros: Extremely rude staff. Had to move rooms due to neighbors being loud
Cons: Extremely rude staff. Had to move rooms due to neighbors being loud"
117,P,United States,March 2025,Couple,1 April 2025,"Guest room, 2 Double",4,"3.0
3.0",Poor,"Pros: No refrigerator no coffee maker or coffee.
Cons: No refrigerator no coffee maker or coffee.
My personal items were stolen."
118,Nolan,United States,February 2025,Couple,19 February 2025,Guest Room 1 King,1,"10
10",Very relaxing and comfortable,"Pros: In a perfect area, the room was clean and comfortable. Loved it all!
Cons: Can’t think of one thing"
119,Gabriela,United States,February 2025,Family,17 February 2025,Guest Room 1 King,2,"5.0
5.0",I won’t be returning.,"Pros: The valet men were very nice.
Cons: A worker tried coming into my room at 6pm. She used her key to come in then once she realized the extra lock was being used she stuck her fingers in to try and unlock it. When I opened the door she ran away. I felt very unsafe. When I told the manager she blew me off and was very rude. My bedsheets had stains on them."
120,Dawn,United States,February 2025,Family,17 February 2025,"Guest room, 2 Double",1,"6.0
6.0","Beautiful, comfortable, perfect location.","Pros: It was beautiful and the beds were comfortable. Beautiful scenery.
Cons: N/A"
121,Lisa,United States,February 2025,Family,17 February 2025,"Guest room, 2 Double",2,"6.0
6.0",Worked for what we needed,"Pros: The location worked well for our needs. The rooms were nice and clean and we were able to include breakfast and eat dinner one night at the bar. The service at both the bar and breakfast was great and food was good as well. It was great to have access to a pool and gym.
Cons: We were able to hear the people in the room next to us as if they were in our room. We were in room 1018 and the room with the noise was 1016. The woman woke up at 6:00 am and was speaking on her phone using the speaker phone. She was speaking in an abnormally loud voice, but not so loud that we should have been able to hear her. I've rarely had such an issue with speaking noise room-to-room at a hotel and would not expect this issue at a Marriott.

I also did not like that I could not self-park my car in the garage. There is another garage nearby but we arrived late at night and I could not tell how long the walk would be. We had to pay a premium for valet parking. I would have preferred to park my car myself."
122,Stephanie,United States,February 2025,Family,9 February 2025,"Guest room, 2 Double",1,"10
10",Exceptional,"Pros: Clean and updated rooms. Customer service was great, and the free breakfast was wonderful! We would stay here again!"
123,Dave,Canada,February 2025,Couple,9 February 2025,Guest Room 1 King,1,"3.0
3.0",Train your staff probably or with at least a common sense.,"Pros: Housekeeper enter my room with the DO NOT Disturb on the door, I was showering and she let her self in and tell us to check out it was only 11am, check out was 12pm. Unacceptable. I paid for breakfast and was told at the restaurant that my rate did not include breakfast. Will never stay here again.
Cons: Housekeeper enter my room with the DO NOT Disturb on the door, I was showering and she let her self in and tell us to check out it was only 11am, check out was 12pm. Unacceptable. I paid for breakfast and was told at the restaurant that my rate did not include breakfast. Will never stay here again."
124,Helen,United States,January 2025,Couple,2 February 2025,"Guest room, 2 Double",1,"10
10",Very nice hotel but no airport shuttle.,"Pros: Location
Cons: No breakfast
No airport shuttle"
125,Steven,United States,January 2025,Couple,20 January 2025,Guest Room 1 King,2,"10
10",Thumbs up - Dadeland Marriott,"Pros: The room for good sized, bed very comfortable, great staff
Cons: Everything was great"
126,Nashannon,United States,September 2024,Couple,30 September 2024,Guest Room 1 King,2,"10
10",Clean. Friendly staff. Comfortable bed.,"Pros: Comfortable. Clean. Great area 
The shower was nice and hot
Cons: They charge $29 a night for parking I have to cars and stayed 3 nights. I was so mad"
127,Kaniesha,Bahamas,July 2024,Family,28 September 2024,"Guest room, 2 Double",2,"10
10",Top Tier Accommodation,"Pros: Always a wonderful stay.
I love that the hotel is clean, modern & gives the feeling of being fully secured."
128,Kavita,Trinidad and Tobago,August 2024,Couple,3 September 2024,Guest Room 1 King,2,"10
10",Exceptional,Pros: Great quiet and convenient location
129,Milton,Cayman Islands,August 2024,Family,26 August 2024,"Guest room, 2 Double",4,"3.0
3.0",My experience did not meet my expectation,"Pros: Room was not clean. No towels in the room and no bath gel
Cons: Room was not clean. No towels in the room and no bath gel"
130,Trevor,Barbados,August 2024,Couple,6 August 2024,Guest Room 1 King,5,"6.0
6.0",Good location.Ensure that you get adequate service where you need.,"Pros: Whitney’s Restaurant at level 2 and 
Lobby bar both excellent.
Location near Dadeland Mall Train station and Publix supermarket unbeatable.
Front desk service was courteous.
Cons: My previous stays from 2006 to 2020 were at concierge level rooms were brighter.This trip daily room cleaning was poor Apart from towels, coffee and shower gel were not replenished.The garbage in the cans in the room and bathroom were not disposed of on the penultimate dayThis is my second trip post pandemic and service was not as before."
131,Krishendath,Trinidad and Tobago,July 2024,Couple,1 August 2024,"Design Guest Room, 1 King",5,"10
10",I had a great vacation,"Pros: Location
Cons: Food was poor"
132,Eduardo,Colombia,July 2024,Solo traveller,30 July 2024,Guest Room 1 King,6,"1.0
1.0",expensive and bad,"Pros: the room
Cons: pay for wifi sucks and parking overpricing"
133,Alicia,United States,July 2024,Couple,29 July 2024,"Guest room, 2 Double",4,"3.0
3.0",Not satisfied. Definitely disappointed in my decision to stay here for 5 days.,"Pros: Room was clean.
Cleaning service made sure that we received cleaned towels & wash daily.
Bed was made everyday.
Cons: I didn’t like the customer service David Prez the front desk hotel mgr displayed during my stay her for 5 days. His tone and attitude definitely made things worse. I had several complaints regarding the noise in my hotel room. This was due to the walls/door not being sound proof. Plus, bottles of water was given to any & everybody that ask at the front desk. David Prez front desk mgr. denied me a bottle water he stated that I pay $3.00. Since, I refused he directed me to there nearest water container. Lastly, it’s approximately 30 mins or more from the proper places in Miami. Food was bad, drinks were good but pricey. I paid $18.00 for 1 alcohol beverage.I definitely wouldn’t recommend this hotel to anyone."
134,Domínguez,United States,July 2024,Family,22 July 2024,"Guest room, 2 Double",3,"5.0
5.0",Good location and nice staff. Could improve im different areas,"Pros: Good location: had a Publix and Dadeland Mall at walking distance as well as other places. 

Staff was overall nice and helpful
Cons: Mandatory valet $25-$30 per night was an unpleasant surprise, hotel doesn’t have a garage or parking for residents. 

The ice machine in my floor was not working, instead of finding another solution the staff sent me to look in another floor 

Facilities are a little bit old, carpet in rooms didn’t look so clean."
135,Antalicia,United States,July 2024,Group,16 July 2024,"Guest room, 2 Double",3,"5.0
5.0",Passable,"Pros: It’s directly across from the Dadeland mall.
Cons: They charge you $30 a day for parking. They charge you a security deposit if $75 dollars per night. WiFi is not included, you must pay per night."
136,John,Cayman Islands,July 2024,Family,6 July 2024,Guest Room 1 King,3,"5.0
5.0","Great facilities, modern rooms but rather uncaring staff/management.","Pros: The room was modern with a large TV with Netflix and good channels. The bathroom was modern with an excellent shower. The rooftop pool was great. Overall, the infrastructure was set for this to be an excellent hotel.
Cons: A disappointing stay at what seems to be a poorly run, uncaring Marriott. Even before arriving, my question about a shuttle from the airport was unanswered.


Upon arrival, trying to get free wifi was an ordeal. To avoid being charged, I was forced to join the Marriot Club, Bonvoy, which took 3 people and half an hour due to connection problems. Not what I needed at 11:00pm.


The hotel could easily provide a courtesy shuttle to/from the mall, saving customers a sweaty 10-minute walk, like it used to - but no, that would be too civilized.


Yesterday, my wife and I wanted to enjoy sitting in the lounge. We were the only ones there. We requested for the channel to be switched from a Spanish infomercial channel to show some Wimbledon coverage. The concierge smiled sweetly and said that changing the channel was impossible. One would receive better service in a dive bar.


I now understand the reason why the rating for this hotel, which has very good facilities, modern bathrooms, large TVs and comfortable beds, has dropped to a meager rating of Good."
137,Pedro,United States,May 2024,Family,23 June 2024,"Guest room, 2 Double",3,"10
10",I will stay at Marriott every time I go to Miami,"Pros: Everything overall
Cons: Everything was goood"
138,Kortni,United States,May 2024,Group,28 May 2024,"Guest room, 2 Double",2,"10
10",I’m ready for my next staycation,"Pros: Everyone was friendly and willing to help
Cons: Everything was nice there wasn’t anything i disliked"
139,Daniel,Brazil,January 2024,Group,28 February 2024,Guest Room 1 King,2,"5.0
5.0",Passable,"Pros: Welcoming front desk team and breakfast service
Cons: The WiFi was not working so I had no access to my e-mails and communication on a Business Trip"
140,Usama,Canada,February 2024,Couple,24 February 2024,Guest Room 1 King,5,"1.0
1.0","Please do health inspection ,","Pros: Nothing the Hotel was not clean at all , moldy and smelly , very bad , it was horrible,
Cons: Nothing , just the location"
141,Richard,United States,December 2023,Family,28 December 2023,"Design Guest Room, Guest room, 2 Double",1,"5.0
5.0",Worried at first so old and no room but ended ok,"Pros: It was quite and not a bad sleep or shower
Cons: Room was tiny once luggage is room no where to move 
Room felt dirty and old"
142,Demarco,United States,December 2023,Couple,10 December 2023,Guest Room 1 King,2,"10
10",Will stay here every time I come to Miami,"Pros: 5 Star Service Pool and Fitness area are perfect
Cons: Other snacks and drinks besides the bar and restaurant."
143,Maria,United States,November 2023,Family,21 November 2023,Guest Room 1 King,1,"10
10",Best Stay in Miami,"Pros: Modern facilities, pristine cleanliness, comfortable beds!"
144,Claire,Cayman Islands,November 2023,Family,17 November 2023,"Guest room, 2 Double",3,"10
10",Exceptional,"Pros: staff excellent and bedrooms very modern and comfortable
Cons: bedroom floors were very sticky"
145,Farideh,United States,October 2023,Family,5 November 2023,Guest Room 1 King,1,"1.0
1.0",,
146,Ayoola,Qatar,July 2023,Solo traveller,19 July 2023,Guest Room 1 King,5,"10
10",Exceptional,"Pros: Booking.com
Cons: Nothing"
147,Tini,Ecuador,June 2023,Solo traveller,17 July 2023,Guest Room 1 King,2,"3.0
3.0",Bad.,"Pros: Clean and good, but I prefer not staying in places were they hire thieves
Cons: I forgot my charger in the room and it magically disappeared one hour after I left the room. Should be carefull with who they hire. I’m very angry because the hotel didn’t even care that their cleaning people stole my charger. Very bad experience"
148,Philip,United States,June 2023,Solo traveller,1 July 2023,"Guest room, 2 Double",3,"10
10",Great time,Pros: Location
149,Mark,United States,June 2023,Couple,21 June 2023,Guest Room 1 King,1,"6.0
6.0",just ok not worth $250,"Pros: the room was 65 degrees when we arrived. the carpet was old and soiled
Cons: the room was 65 degrees when we arrived. the carpet was old and soiled"
150,David,United States,June 2023,Family,20 June 2023,"Guest room, 2 Double",3,"10
10",Exceptional,"Pros: The hotel is absolutely stunning. The rooms are amazing, if you're placed on a higher floor the view is jaw dropping, and the breakfast area is absolutely adorable, looks like it's right out of an anime! Rooms felt very clean and staff is very courteous."
151,Ovin,Trinidad and Tobago,April 2023,Couple,3 May 2023,Guest Room 1 King,4,"4.0
4.0",Good location but rest affected by construction,"Pros: Breakfast and staff was okay.
Cons: Contruction noise"
152,Joe,United States,October 2022,Solo traveller,28 October 2022,Guest Room 1 King,3,"10
10","I loved my stay, I will be staying again","Pros: I enjoyed everything about the property. The staff were excellent
Cons: There was nothing I didn’t enjoy about the property"
153,Carmen,United States,July 2022,Group,19 September 2022,"Guest room, 2 Double",3,"5.0
5.0",Passable,"Pros: I booked from one price at checkout they charged me $150 more. they said it was fixed few days later when I checked my credit card, they never removed the over charge.
Cons: I booked from one price at checkout they charged me $150 more. they said it was fixed few days later when I checked my credit card, they never removed the over charge."
154,Anisa,United States,September 2022,Family,10 September 2022,"Guest room, 2 Double",3,"10
10",Exceptional,Pros: i loved the view and how nice it looked inside
155,Estephania,United States,September 2022,Group,3 September 2022,"Guest room, 2 Double",9,"10
10",vicky at breakfast was very sweet and nice .,"Pros: customer service
Cons: it was clean"
156,Giuliana,United States,August 2022,Family,21 August 2022,Guest Room 1 King,2,"10
10",We enjoyed our stay. Pool area was great and the gym.,"Pros: Bedding was very comfortable. Room size was excellent and the rooms are very well kept. Room has a very open feeling and the bathroom was very nice specially the shower.
Cons: The bathroom could use more counter space to place things."
157,Turnbull,US Virgin Islands,June 2022,Family,27 June 2022,Guest Room 1 King,2,"10
10",Exceptional,"Pros: Everything just everything about this resort met and and exceeded my expectation from the location to the decor to the friendly and helpful staff they are professionals at this resort, the one thing that really stood out was the quietness although I saw guess around the pool and loby, this Hotel gived me a sense of privacy as in not many people was visible at any time and it felt really stress free and relaxing.The rooms are 5 star quality. I highly recommend..
Cons: Everything. .."
158,Lakenya,United States,June 2022,Couple,27 June 2022,Guest Room 1 King,1,"10
10",Exceptional,"Pros: everything is clean it’s walking distance to Publix very nice
Cons: nothing"
159,Fluffuloof,United States,June 2022,Family,12 June 2022,"Guest room, 2 Double",1,"10
10",Exceptional,"Pros: The staff was perfect breakfast was great facility was great rooms were beautiful pool was perfect temperature
Cons: Nothing everything was great"
160,Joanna,Cayman Islands,June 2022,Solo traveller,7 June 2022,Guest Room 1 King,3,"10
10",Exceptional,"Pros: The bed in 1010 was the most comfortable bed ever! I stay at the Marriott Dadeland because of the comfortable beds, plus its location.
Cons: I do miss the carpet in the room as it makes it feel quiet and cozy, but I understand why the carpets have been replaced with tile; it must be so much easier to keep clean."
161,Anonymous,Trinidad and Tobago,April 2022,Family,23 April 2022,Guest Room 1 King,1,"8.0
8.0",comfortable but rooms need to be updated,"Pros: friendly staff, location, convenience.
Cons: the apartment was quite dated, the toilet was very shaky"
162,Maria,Chile,March 2025,Solo traveller,12 April 2025,"Guest room, 2 Double",7,"7.0
7.0",Poco satisfactoria,"Pros: Ubicación y limpieza
Cons: Tuve problema con el cobro del alojamiento; ya me contacté con ustedes hace casi un mes y no tengo respuesta. Se me caego a la tarjeta el valor total por los 7 días mas 3 dias.
El trato del recepcionista al hacer el check out fue extremadamente irrespetuoso y sin intención alguna de ayudar a solucionar el problema.."
163,Marianella,Ecuador,March 2025,Family,13 March 2025,"Design Guest Room, Guest room, 2 Double",1,"9.0
9.0",Bueno,"Pros: Las instalaciones
Cons: El precio"
164,Jenny,Brazil,February 2025,Family,16 February 2025,"Guest room, 2 Double",2,"7.0
7.0",Good,"Pros: Limpeza
Cons: Cama pequena"
165,Gaby,Ecuador,January 2025,Couple,7 January 2025,Guest Room 1 King,2,"9.0
9.0",Para descansar estuvo bien,"Pros: Amplio para nosotros
Cons: La atención del joven recepcionista"
166,Jose,Colombia,October 2024,Solo traveller,3 January 2025,Guest Room 1 King,1,"8.0
8.0",volveré,"Pros: Ubicación bien. No desayuné.
Cons: N.A."
167,Sugey,Dominican Republic,November 2024,Solo traveller,27 November 2024,Guest Room 1 King,1,"9.0
9.0",Bien,"Pros: Ubicación
Cons: Que no estaba muy limpia la habitación"
168,Grace,Costa Rica,November 2024,Family,13 November 2024,"Guest room, 2 Double",3,"8.0
8.0",Buena,"Pros: Si pero me parece que la relación precio servicios no es conforme. No hay desayuno, cobran el internet, no hay shuttle"
169,Daisy,Brazil,November 2024,Couple,13 November 2024,"Design Guest Room, 1 King",10,"8.0
8.0",boa estadia,"Pros: bom cafe da manha
localizacao muito boa
atendeu minhas expectativas
Cons: Atendimentp na recepcao deixou a desejar"
170,Maria,Colombia,October 2024,Family,4 November 2024,"Guest room, 2 Double",2,"9.0
9.0",Central y cómodo,"Pros: Era cómodo, y sus instalaciones eran lindas
Cons: El costo del parqueadero, no explican bien los valores y nos tocó pagar $70 dólares por el tamaño de la camioneta"
171,Søren,Denmark,October 2024,Family,24 October 2024,"Guest room, 2 Double",3,"8.0
8.0",Very good,"Pros: Rigtig godt hotel
Cons: Alt var ekstra betaling, også parkering"
172,Cindy,United States,August 2024,Family,13 October 2024,"Guest room, 2 Double",2,"9.0
9.0",Superb,"Pros: el baño muy amplio y organizado.
Cons: no tienen barra en la piscina."
173,Fadi,Venezuela,September 2024,Couple,28 September 2024,Guest Room 1 King,6,"7.0
7.0","buenos, estaba bien","Pros: centrico
Cons: tiene que pedir a limpiar las habitaciones y colocar toallas, y colocar los sobre de cafe"
174,Domingo,Dominican Republic,September 2024,Couple,25 September 2024,Guest Room 1 King,3,"9.0
9.0",Buena,"Pros: Buena zona , cerca de buenos restaurantes y supermercados y además una zona segura para caminar en la noche
Cons: No encontré nada que me desagradara"
175,Lenka,Czech Republic,September 2024,Solo traveller,23 September 2024,Guest Room 1 King,1,"9.0
9.0",Superb,Pros: Moderni a nove zarizeny hotel i pokoj
176,Aracelli,Peru,August 2024,Couple,3 September 2024,"Guest room, 2 Double",3,"8.0
8.0",Very good,"Pros: Todo estuvo muy bien coordinado
Cons: Que me pusieron en el piso 22"
177,Juan,Peru,July 2024,Family,19 August 2024,"Guest room, 2 Double",4,"9.0
9.0","Hotel muy comodo, en excelente zona de Miami","Pros: La ubicación, limpieza, buen desayuno
Cons: Las camas un poco chicas"
178,Mustafa,Germany,August 2024,Family,7 August 2024,"Guest room, 2 Double",10,"8.0
8.0",Schöner Aufenthalt mit guten Frühstück,"Pros: Frühstück und Freundlichkeit der Mitarbeiter
Cons: Es wurde im Zimmer nicht gesaugt, die Haare waren immer noch vorhanden"
179,Jose,United States,July 2024,Couple,29 July 2024,"Guest room, 2 Double",2,"8.0
8.0",Ideal para estar tranquilo,"Pros: El personal y su ubicación fenomenal
Cons: La verdad todo estuvo correcto"
180,Ricardo,Germany,July 2024,Family,27 July 2024,"Guest room, 2 Double",5,"7.0
7.0",Good,"Pros: Die Betten
Cons: Das Frühstück. Basic & Teuer"
181,Lujan,Curaçao,July 2024,Family,9 July 2024,"Guest room, 2 Double",3,"7.0
7.0",Bien,"Pros: Excelente
Cons: Que cuando hice la reserva decía que incluía el desayuno 
Y cuando llegamos dijeron que no era incluido 
No me gustó eso de verdad"
182,Vera,Brazil,June 2024,Couple,23 June 2024,"Guest room, 2 Double",3,"8.0
8.0","Eu ja tinha ficado no Marriott uns anos atrás, tinha gostado e ficaria la de novo.","Pros: Cafe da manhã muito bom e ótima localização. 
Chuveiro e banheiro
Cons: Cama"
183,Hotellobi,Suriname,April 2024,Solo traveller,5 May 2024,"Guest room, 2 Double",7,"8.0
8.0",Goed,"Pros: Goed en net hotel ook zeer schoon.
Cons: Valet parking kan wat sneller."
184,Benno,Germany,March 2024,Family,20 April 2024,"Guest room, 2 Double",1,"7.0
7.0",Good,"Pros: Freundliches und hilfsbereites Personal, Soweit alles gut. Keine Probleme mit der An und Abreise."
185,Juan,Colombia,March 2024,Family,4 April 2024,"Guest room, 2 Double",1,"7.0
7.0",Good,"Pros: La cercania y la ubicación
Cons: El colchon es un poco incómodo"
186,Armando,Venezuela,March 2024,Couple,31 March 2024,Guest Room 1 King,4,"8.0
8.0","Confrotable , la atencion en el bar y los sncks muy buenos. Excelente ubicacion","Pros: Cama muy conformatable
Cons: Costo del parking"
187,Armando,Bolivia,March 2024,Family,25 March 2024,"Guest room, 2 Double",1,"9.0
9.0",Seguro vuelvo !!!,"Pros: La habitación está muy comoda
Cons: La puerta de vidrio del baño"
188,Norma,Germany,March 2024,Family,22 March 2024,Guest Room 1 King,2,"7.0
7.0",Der Empfang beim Check-in ist entscheidend.,"Pros: Die Location-Top!
Cons: Der Ablauf beim Einchecken. Trotz Information im Voraus.
Styl des Badezimmers mit Schiebetür."
189,Pilar,Argentina,November 2023,Solo traveller,14 February 2024,Guest Room 1 King,4,"9.0
9.0",Buena,"Pros: Instalaciones completas
Cons: El área de piscina no está muy completa"
190,Sugey,Dominican Republic,November 2023,Family,30 November 2023,"Guest room, 2 Double",3,"9.0
9.0",Superb,"Pros: Las camas
Cons: El precio"
191,Fadi,Venezuela,August 2023,Couple,30 August 2023,"Guest room, 2 Double",3,"9.0
9.0",Todo bien,"Pros: Su ubicación.
Cons: Baños viejos"
192,Alma,Chile,August 2023,Family,19 August 2023,"Guest room, 2 Double",3,"9.0
9.0","Tuvimos una muy buena experiencia, las habitaciones son cómodas y el hotel está muy bien ubicado","Pros: Sin duda la ubicación y conectividad, la habitación es cómoda
Cons: Que no tuviese wifi gratis en las habitaciones"
193,Alberto,Mexico,August 2023,Couple,10 August 2023,Guest Room 1 King,4,"7.0
7.0",Good,"Pros: atencion del personal, la cama y almohadas
Cons: el agua tibia, habitaciones viejas"
194,Maximiliano,Argentina,July 2023,Couple,9 July 2023,Guest Room 1 King,3,"7.0
7.0",Good,"Pros: Ubicación
Cons: Que no tiene estacionamiento incluido"
195,Sugey,Dominican Republic,June 2023,Family,1 July 2023,"Guest room, 2 Double",2,"9.0
9.0",Bien,"Pros: El.desayuno muy bueno, la habitación cuando estuve el noviembre fue más moderna, me gustó más la otra vez.
Cons: El tipo de habitación"
196,Mattos,Brazil,June 2023,Family,7 June 2023,"Guest room, 2 Double",2,"7.0
7.0","quarto confortável, otimo custo benefício, cafe da manha ruim , e atendimentos da recepcao extraordinariamente pessimo.","Pros: quarto novo , ótimo banheiro.
Cons: o quarto nao tem iluminação, muito escuro de noite."
197,Patrick,French Guiana,March 2023,Couple,25 March 2023,Guest Room 1 King,10,"9.0
9.0",Très bel hôtel un personnel vraiment charmant,"Pros: La qualité du personnel
Cons: L'attente à notre arrivée
Le fait de payer pour avoir une connexion internet"
198,Florit,Spain,February 2023,Solo traveller,24 February 2023,"Guest room, 2 Double",4,"7.0
7.0",Good,"Pros: las moquetas de las habitaciones estan muy gastadas y en segun que parte sucias !!
Cons: las moquetas de las habitaciones estan muy gastadas y en segun que parte sucias !!"
199,Anabella,Guatemala,November 2022,Family,13 November 2022,"Guest room, 2 Double",7,"8.0
8.0",No es la misma calidad que distinguía a los hoteles Marriott ...,"Pros: Las instalaciones del hotel en el lobby y nivel 2. Muy amable el personal del desayuno y de limpieza
Cons: Que las camas no tienen buenos colchones, alfombras y cortinas del cuarto viejas, el desayuno es comida de supermercado, de baja calidad, no como solía ser Marriott, personal del front desk poco colaborador"
200,Maria,Brazil,October 2022,Family,6 November 2022,"Guest room, 2 Double",3,"9.0
9.0",Superb,"Pros: Localizacai
Cons: O hotel precisa renovar os quartos"
201,Ana,Guatemala,October 2022,Solo traveller,3 October 2022,"Guest room, 2 Double",3,"8.0
8.0",Very good,"Pros: La habitación, la cama y la ubicación excelentes. Suficientes toallas y con comodidades para hacer la estancia agradable. Tenía el desayuno incluido y aunque no me gustó lo ordenado en cocina, el buffet estaba siempre bien y aceptable
Cons: Me parece que pueden mejorar el sistema de conexión a Internet. En la mayoría de hoteles está incluido el valor de la Internet y aquí había que pagar y tuve problemas con la conexión por los diferentes dispositivos."
202,Tareq,Kuwait,August 2022,Couple,2 September 2022,Guest Room 1 King,1,"9.0
9.0",الغرف نظيفة ومريحة,"Pros: قريب من جميع الخدمات ومركز التسوق ( المول )
Cons: السعر مرتفع تقليلا"
203,Sergio,Brazil,July 2022,Family,7 August 2022,"Guest room, 2 Double",3,"9.0
9.0",Superb,Pros: hotel muito bom mas longe de Miami Beach
204,Nelson,Honduras,May 2022,Family,3 June 2022,Guest Room 1 King,5,"9.0
9.0",muy buena,"Pros: limpieza
Cons: lo de
wifi nunca me conecte"
205,Luis,Dominican Republic,May 2022,Group,28 May 2022,"Guest room, 2 Double",3,"9.0
9.0",Superb,"Pros: el servicio del bar en lobby debe mejorar
Cons: el servicio del bar en lobby debe mejorar"
206,Manuel,Colombia,April 2025,Family,22 April 2025,Guest Room 1 King,3,"5.0
5.0",En una futura oportunidad procuraría otra opción,"Pros: Comoda la habitación, muy bueno el desayuno
Cons: El precio con el que se hizo la reseva por Booking fue diferente del que se pagó en el hotel. A la llegada el hotel cargó US$ 200 más, la explicación fue que ellos tienen sus propias tarifas, el personal de la recepción es poco amable"
207,Fernanda,Brazil,March 2025,Couple,24 March 2025,Guest Room 1 King,1,"6.0
6.0",Não foi agradável,"Pros: A primeira noite nos colocaram em um quarto antigo com carpete sujo e mobiliário ultrapassado. Fiquei bem desapontada pelo preço que paguei.
Cons: Carpete sujo, quarto com mobílias gigantes que deixam o quarto ainda menor. Tinha barulho de gaivotas na janela o que incomodava muito"
208,Pilar,Argentina,March 2025,Solo traveller,14 March 2025,"Guest room, 2 Double",4,"5.0
5.0",Passable,"Pros: Cuando llegue por la madrugada me habían cancelado la reserva siendo que siempre reservo el día anterior para poder llegar temprano al día siguiente y tener habitación - demoraron 1 hs en darme de nuevo y suerte que un huésped salió
Cons: Cuando llegue por la madrugada me habían cancelado la reserva siendo que siempre reservo el día anterior para poder llegar temprano al día siguiente y tener habitación - demoraron 1 hs en darme de nuevo y suerte que un huésped salió"
209,Helena,Brazil,February 2025,Family,28 February 2025,"Guest room, 2 Double",2,"4.0
4.0",Desgaste desnecessário no check out,"Pros: Localização 
Café da manhã
Cons: Atendimento no checkout foi péssimo.A atendente não sabia como fechar a minha conta e perguntou para o colega que muito distraído e sem checar direito as informações que eu já havia pago todo o valor da hospedagem no check in com um cartão de débito e que ele deveria somente cancelar o cartão de crédito que eu havia dado para os extras no valor de 150 USD não fez o cancelamento corretamente.Conclusão:a cobrança indevida pelo hotel destes 150 USD está aparecendo na faturado meu cartão de crédito.Solicito que o hotel resolva esta pendência urgente e libere este valor do meu cartão de crédito uma vez que não houve extras a serem pagos."
210,Sebastian,United States,January 2025,Couple,1 February 2025,"Design Guest Room, Guest room, 2 Double",1,"1.0
1.0",Pague por un servicio que no recibi,"Pros: Desayuno
Cons: Pague extra por una cama king y me dieron dos camas dobles"
211,Bianca,Brazil,January 2025,Couple,1 February 2025,Guest Room 1 King,1,"10
10",Muito agradável,"Pros: Localização
Cons: Nada a declarar"
212,Martinezalfredo,Argentina,December 2024,Family,5 January 2025,"Guest room, 2 Double",5,"10
10",Exceptional,"Pros: Excelente hotel en Miami
Cons: El precio del desayuno me pareció caro, 28 us$ por persona"
213,Roberto,Brazil,December 2024,Family,30 December 2024,"Guest room, 2 Double",2,"4.0
4.0",Regular,"Pros: As camas eram confortáveis e tinham bons colchões
Cons: Apesar de ter pagado por dois dias (28 e 29) e de ter feito o check in somente no dia 29, por volta de 08hs, não houve serviço de quarto neste dia e quando voltamos do passeio o quarto estava desarrumado. Além disso, faltaram toalhas e tapete de banheiro em quantidade suficiente, pois precisamos usar as que havia no banheiro para conter a água que escorria do box, de
modo a evitar que inundasse todo o banheiro e o quarto, pois se tratava de
uma acomodação adaptada para cadeirantes e não havia qualquer contenção da água que escorria do box. Justamente por tais incômodos a representante do hotel me garantiu que seria contada apenas uma diária e que faria o estorno do quantia referente à segunda diária para que eu pudesse solicitar o reembolso junto a Boooking. Assim, aproveitando o contato, venho requerer o reembolso da segunda diária que paguei a Booking, pois o hotel já fez o estorno da quantia."
